"PRODUCTOS","ene-24","feb-24","mar-24","abr-24","may-24","jun-24","jul-24","ago-24","sept-24","oct-24","nov-24","dic-24","ene-25","feb-25","mar-25","abr-25","may-25","oct-25","Tipo de dieta"
"TÉ","2553.8","2576.4","2412.9","2162.1","2624.8","2445.9","2568.1","2200.2","2304.2","2387.4","2366.4","2361.8","2521.8","2365.2","2254.3","2564.4","2162.0","2162.0","Vegano"
"TOMATES","1498.3","1439.5","1372.2","1345.7","1335.2","1484.5","1405.6","1443.6","1492.2","1428.7","1306.3","1195.6","1210.6","1294.1","1543.1","1624.6","1542.5","1542.5","Vegano"
"VERDURAS CONGELADAS","1394.6","1519.6","1614.2","1611.1","1667.9","1680.5","1726.8","1695.1","1553.4","1646.4","1616.0","1336.7","1711.1","1688.9","1667.9","1668.0","1650.7","1650.7","Vegano"
"VERDURAS DE ESTACIÓN","1150.9","1106.2","1127.0","1155.1","1176.6","1170.9","1186.3","1213.3","1235.5","1227.0","1122.2","1154.7","1176.1","1153.2","1181.4","1182.7","1128.7","1128.7","Vegano"
"VERDURAS ENCURTIDAS","3687.2","3862.2","4145.5","4473.9","4525.1","4600.8","5028.4","5285.8","5247.5","5294.8","4849.7","5202.0","5270.3","5045.4","5372.1","5516.6","5265.6","5265.6","Vegano"
"ZANAHORIAS","953.4","958.3","950.2","931.2","909.9","862.5","895.7","916.3","958.0","1016.8","922.9","950.5","1006.9","971.8","951.6","913.6","851.3","851.3","Vegano"
"ZAPALLOS","1393.0","1276.5","1246.7","1193.2","1160.3","1181.7","1144.0","1239.2","1262.1","1268.2","1065.8","1194.3","1257.3","1206.2","1240.3","1259.4","1704.4","1704.4","Vegano"
"ZAPALLOS ITALIANOS","553.2","549.2","604.7","572.7","585.6","646.1","652.7","688.8","664.4","623.8","496.1","517.3","579.1","580.1","599.7","562.2","549.7","549.7","Vegano"
"CARAMELOS VEGANOS","891.9","812.5","920.4","895.6","882.1","940.0","942.2","1019.4","1046.9","1026.9","976.9","982.4","1062.7","1040.6","1041.2","1047.7","963.9","963.9","Vegano"
"CHOCOLATE VEGANO","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","3670.5","Vegano"
"GALLETAS VEGANAS","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","1520.3","Vegano"
"HAMBURGUESAS VEGANA","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","1236.0","Vegano"
"LECHE VEGANA","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","2678.0","Vegano"
"HELADO VEGANO","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","4655.8","Vegano"
"LENTEJAS","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","2846.3","Vegano"
"GARBANZOS","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","2917.3","Vegano"
"POROTOS","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","3121.3","Vegano"
"MANJAR VEGANO","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","2936.7","Vegano"
"MANTEQUILLA DE ACEITE DE COCO","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","2690.0","Vegano"
"MASAS SALADAS PREPARADAS VEGANA","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","5473.3","Vegano"
"POSTRES VEGANOS","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","4915.0","Vegano"
"QUESO VEGANOS","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","4256.7","Vegano"
"SNACKS VEGANO","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","1889.0","Vegano"
"SUPLEMENTOS ALIMENTICIO B12","10990.0","10990.0","10990.0","10990.0","10990.0","10990.0","10990.0","10990.0","10990.0","10990.0","10990","10990.0","10990.0","10990.0","10990.0","10990.0","10990.0","10990.0","Vegano"
"YOGURT VEGANO","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","1329.3","Vegano"
"SEMILLAS DE SESAMO","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","2069.0","Vegano"
"TOFU","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","3232.7","Vegano"
